property_type,servant_quarters,floors,parking_spaces,furnished,Price_PKR,Area_SqFt,Beds_Num,Baths_Num,Built_Year_Clean
House,0,2,2,Yes,55000000,2250.0,7,6,2025
House,0,2,2,No,55000000,2250.0,7,6,2025
House,0,1,0,Yes,55000000,3375.0,5,6,2023
House,1,2,4,No,55000000,2272.5,7,6,2025
House,0,1,0,Yes,55000000,5400.0,6,6,2022
House,1,2,2,Yes,60000000,3375.0,5,5,2025
House,1,2,2,Yes,60000000,4500.0,5,5,2025
House,1,3,2,No,60000000,3150.0,4,6,2014
House,1,2,2,Yes,60000000,3375.0,5,5,2025
House,1,2,2,Yes,60000000,3375.0,6,6,2025
House,2,2,2,No,64000000,4500.0,4,5,2025
House,0,2,5,Yes,64000000,6750.0,4,5,2023
House,0,2,0,Yes,65000000,2250.0,6,6,2025
House,1,2,1,Yes,65000000,3375.0,8,7,2015
House,1,2,2,Yes,67500000,4500.0,5,5,2025
House,1,2,10,No,68000000,9000.0,7,6,2020
House,1,2,2,Yes,70000000,5400.0,5,6,2025
House,0,1,0,No,70000000,4050.0,0,0,2025
House,0,1,0,No,70000000,4050.0,5,6,2025
House,1,2,4,No,70000000,4050.0,4,4,2023
House,1,2,2,No,75000000,4500.0,4,4,2025
House,1,2,2,Yes,75000000,4500.0,5,6,2024
House,0,2,1,No,75000000,4500.0,5,5,2024
House,2,2,3,Yes,75000000,4050.0,7,6,2024
House,1,2,3,Yes,75000000,5850.0,5,6,2020
House,1,2,3,Yes,75000000,4500.0,10,0,2023
House,1,1,3,No,80000000,4950.0,8,0,2024
House,1,2,3,Yes,85000000,6300.0,6,6,2025
House,1,2,0,Yes,88000000,4500.0,10,0,2023
